TournamentName,Surface,Series,MatchDate,PlayerASurname,PlayerAFirstName,PlayerBSurname,PlayerBFirstName,PlayerAGames,PlayerBGames,ExpectedMatchOutcome,MatchOutcomeProbability,BookmakerName,Source,OddAfterCommission,Edge,ObservedMatchOutcome,TeamAScore,TeamBScore,MatchComment
Australian Open,Hard,Grand Slam,24-01-2013,Djokovic,Novak,Ferrer,David,116,124,Away Win,0.208482829,Marathonbet.co.uk,Best Betting,9.400000,0.9597385926000,Home Win,3,0,Completed
Australian Open,Hard,Grand Slam,25-01-2013,Murray,Andy,Federer,Roger,110,111,Away Win,0.594006054,Paddy Power,Odds Checker Web,2.380000,0.4137344085200,Home Win,3,2,Completed
Australian Open,Hard,Grand Slam,27-01-2013,Djokovic,Novak,Murray,Andy,117,111,Home Win,0.791517171,Paddy Power,Odds Checker Web,1.570000,0.2426819584700,Home Win,3,1,Completed
VTR Open,Clay,ATP,04-02-2013,Alund,Martin,Giraldo,Santiago,0,55,Home Win,0.341856582,Marathonbet.co.uk,Best Betting,3.250000,0.1110338915000,Away Win,2,1,Completed
VTR Open,Clay,ATP,04-02-2013,Mayer,Leonardo,Volandri,Filippo,26,39,Home Win,0.648940100,Paddy Power,Best Betting,1.570000,0.0188359570000,Away Win,2,0,Completed
VTR Open,Clay,ATP,04-02-2013,Mayer,Leonardo,Volandri,Filippo,26,39,Away Win,0.351059899,Marathonbet.co.uk,Best Betting,3.050000,0.0707326919500,Away Win,2,0,Completed
VTR Open,Clay,ATP,05-02-2013,Lajovic,Dusan,Garin,Christian,6,0,Away Win,0.222442094,Pinnacle Sports,Odds Checker Web,6.490000,0.4436491900600,Away Win,2,0,Completed
VTR Open,Clay,ATP,05-02-2013,Riba,Pere,Robredo,Tommy,14,22,Home Win,0.180195619,Pinnacle Sports,Odds Checker Web,6.650000,0.1983008663500,Away Win,2,0,Completed
VTR Open,Clay,ATP,05-02-2013,Massu,Nicolas,Montanes,Albert,1,33,Away Win,0.886199574,Betfred,Odds Checker Web,1.290000,0.1431974504600,Away Win,2,1,Completed
VTR Open,Clay,ATP,05-02-2013,Rufin,Guillaume,Ramirez Hidalgo,Ruben,13,17,Away Win,0.519322980,Marathonbet.co.uk,Best Betting,2.880000,0.4956501824000,Home Win,2,0,Completed
VTR Open,Clay,ATP,05-02-2013,Berlocq,Carlos,Kuznetsov,Andrey,62,11,Away Win,0.397333025,Marathonbet.co.uk,Best Betting,3.350000,0.3310656337500,Home Win,2,0,Completed
